show_id,type,title,director,country,date_added,release_year,rating,duration,genre,language,imgDB_ratings,votes,budget_million,revenue_million,popularity_score,seasons,Column1
s68,TV Show,Stranger Things 68,Director E,France,2019-05-07,2023,G,62 min,Romance,Korean,7.3,353588,104.5,279.59,61.3,8,good
s69,Movie,The Old Guard 69,Director D,France,2020-04-17,2018,PG-13,104 min,Sci-Fi,English,6.6,500951,154.37,339.93,59.8,0,good
s70,TV Show,Black Mirror 70,Director B,India,2025-10-20,2003,G,53 min,Mystery,French,8.3,434893,65.48,178.05,77.9,2,good
s71,TV Show,The Recruit 71,Director A,Australia,2016-11-24,2020,TV-14,46 min,Thriller,French,9,516650,114.73,393.82,83.6,7,excellent
s72,Movie,Breaking Bad 72,Director A,United States,2017-02-07,2013,TV-PG,172 min,Mystery,English,7.1,732712,114.81,459.59,52.9,0,good
s73,TV Show,Elite 73,Director E,France,2020-10-30,2011,R,34 min,Sci-Fi,Spanish,8.6,183240,66.08,209.93,61.5,4,excellent
s74,TV Show,Breaking Bad 74,Director B,India,2018-11-06,2020,G,54 min,Romance,French,7.2,306603,81.69,373.77,63.9,5,good
s75,TV Show,The Karate Kid 75,Director C,Australia,2018-10-21,2022,PG,54 min,Adventure,French,7.3,253728,27.91,67.42,56.7,5,good
s76,TV Show,The Crown 76,Director B,Australia,2016-02-03,2008,TV-PG,61 min,Thriller,Korean,8.8,305096,109.72,431.17,79.3,1,excellent
s77,TV Show,The Intern 77,Director A,Australia,2024-06-21,2021,TV-PG,67 min,Adventure,Spanish,8,328939,77.25,354.91,73.3,3,good
s78,TV Show,Bridgerton 78,Director C,United Kingdom,2024-05-19,2010,PG,51 min,Family,Italian,9,388629,28.09,115.26,74.3,3,excellent
s79,TV Show,Elite 79,Director D,Japan,2017-04-16,2025,TV-PG,54 min,Comedy,Japanese,8.9,764396,21.19,102.97,77.4,2,excellent
s80,TV Show,Stranger Things 80,Director C,India,2017-05-21,2017,R,54 min,Sci-Fi,English,7.7,867367,82.38,298.53,66.8,6,good
s81,TV Show,The Intern 81,Director B,United States,2018-06-25,2019,TV-MA,66 min,Crime,Italian,8.2,685776,78.07,214.69,64.6,2,good
s82,Movie,Narcos 82,Director E,France,2025-12-13,2007,PG-13,143 min,Documentary,Hindi,8.1,784238,26.15,61.95,71.6,0,good
s83,TV Show,Don't Look Up 83,Director F,Spain,2016-05-14,2008,TV-PG,69 min,Drama,Japanese,6.2,385303,29.99,80.01,40.3,6,good
s84,Movie,Sex Education 84,Director A,Spain,2025-07-05,2003,R,180 min,Action,Korean,8,631152,82.94,264.15,78.2,0,good
s85,Movie,Wednesday 85,Director C,United Kingdom,2018-06-03,2018,PG-13,179 min,Fantasy,French,5.8,949275,156.81,295.02,50.5,0,average
s86,Movie,Ozark 86,Director B,Canada,2025-09-18,2021,TV-MA,78 min,Action,Japanese,8.6,622457,25.46,50.85,65.5,0,excellent
s87,Movie,Damsel 87,Director E,United States,2016-09-17,2023,PG,135 min,Sci-Fi,English,7.8,478962,81.79,164.56,64,0,good
s88,TV Show,Dark 88,Director B,India,2020-10-12,2012,PG-13,68 min,Crime,German,5.5,89714,61.38,283.62,40.7,2,average
s89,TV Show,The Lincoln Lawyer 89,Director E,Italy,2021-09-01,2014,R,63 min,Documentary,Italian,8.9,687535,16.41,61.5,82.9,7,excellent
s90,TV Show,Breaking Bad 90,Director B,Mexico,2025-04-12,2010,G,54 min,Comedy,Hindi,7,702416,52.84,63.37,50.9,7,good
s91,Movie,Bridgerton 91,Director E,Spain,2017-01-30,2013,TV-14,170 min,Documentary,German,7.6,619953,133.51,502.79,74.6,0,good
s92,TV Show,To All the Boys I've Loved Before 92,Director A,Spain,2016-07-29,2023,TV-PG,43 min,Comedy,French,6.1,693637,45.44,146.65,49.8,5,good
s93,Movie,The Irishman 93,Director E,Mexico,2020-10-23,2025,PG,146 min,Drama,Spanish,7.8,678918,175.47,665.36,65.4,0,good
s94,TV Show,Sex Education 94,Director A,India,2019-12-08,2010,R,25 min,Documentary,Japanese,6.9,153766,105.03,333.84,63.2,3,good
s95,TV Show,The Gray Man 95,Director E,United States,2020-02-24,2005,TV-14,44 min,Crime,Italian,5.6,60164,94.34,300.37,37,6,average
s96,TV Show,To All the Boys I've Loved Before 96,Director F,Mexico,2022-10-22,2015,G,53 min,Fantasy,French,5.7,455797,36.41,144.58,36.6,7,average
s97,Movie,Money Heist 97,Director C,Spain,2022-09-20,2012,TV-14,82 min,Drama,Italian,6.1,148901,3.37,5.98,57.4,0,good
s98,TV Show,Nimona 98,Director F,United States,2017-06-13,2005,TV-G,49 min,Drama,Italian,8.7,80576,62.53,268.88,68.3,4,excellent
s99,TV Show,Wednesday 99,Director B,Australia,2020-10-24,2018,G,61 min,Family,German,5.7,26869,86.59,221.18,59.7,7,average
s100,TV Show,Bridgerton 100,Director B,India,2018-09-23,2003,TV-14,52 min,Fantasy,Korean,6.5,361005,65.26,160.68,46,7,good
s101,TV Show,Over the Moon 101,Director F,India,2024-02-27,2011,PG-13,66 min,Mystery,Italian,6,636661,32.17,45.52,40.1,3,average
s102,TV Show,The Gray Man 102,Director F,Canada,2025-11-21,2021,PG,61 min,Horror,English,5.8,76603,104.39,358.51,47.1,6,average
s103,Movie,Lupin 103,Director A,Australia,2021-03-06,2009,TV-G,132 min,Sci-Fi,English,6.4,680981,8.69,17.71,62.5,0,good
s104,Movie,Enola Holmes 104,Director C,Italy,2022-10-14,2010,TV-14,135 min,Fantasy,Spanish,7.1,855360,91.24,395.54,69.1,0,good
s105,Movie,Money Heist 105,Director C,Mexico,2020-11-28,2022,TV-MA,131 min,Mystery,German,6.8,301635,95.28,283.77,52.9,0,good
s106,TV Show,Wednesday 106,Director C,India,2022-04-04,2003,PG-13,68 min,Romance,French,8,636977,37.68,144.68,75.6,7,good
s107,TV Show,The Kissing Booth 107,Director F,Italy,2022-09-03,2004,TV-14,70 min,Animation,Japanese,8.6,857686,40.6,96.71,60.3,2,excellent
s108,TV Show,The Adam Project 108,Director B,United Kingdom,2020-01-25,2000,TV-14,44 min,Crime,Hindi,8.5,206332,114.38,255.67,62.1,3,good
s109,Movie,The Adam Project 109,Director E,United Kingdom,2019-10-11,2021,G,173 min,Drama,Japanese,5.9,194630,112.01,328.11,57.6,0,average
s110,Movie,Arcane 110,Director D,South Korea,2022-11-05,2014,TV-PG,111 min,Animation,Italian,6.2,255786,135.93,497.07,46,0,good
s111,TV Show,The Gray Man 111,Director A,Mexico,2020-04-13,2024,G,57 min,Family,German,8.6,150121,116.12,491.3,80.4,7,excellent
s112,Movie,Army of the Dead 112,Director E,United Kingdom,2025-06-26,2022,TV-G,141 min,Comedy,Korean,8.5,291042,153.51,262.77,68.1,0,good
s113,TV Show,Enola Holmes 113,Director C,India,2020-08-26,2000,TV-PG,28 min,Mystery,Spanish,9.5,398124,62.73,112.3,70.1,7,excellent
s114,Movie,Black Mirror 114,Director A,United States,2025-04-21,2009,PG,135 min,Thriller,Spanish,8.2,475392,125.9,143.69,70.2,0,good
s115,TV Show,Army of the Dead 115,Director A,India,2024-09-14,2003,G,43 min,Horror,English,7,837463,39.63,39.65,60.8,4,good
s116,Movie,The Karate Kid 116,Director F,India,2017-08-11,2022,TV-PG,112 min,Comedy,English,6.2,441802,78.4,235.02,42.7,0,good
s117,TV Show,The Lincoln Lawyer 117,Director F,Mexico,2023-02-16,2001,TV-14,49 min,Mystery,German,8.6,366551,34.17,29.67,63.3,6,excellent
s118,Movie,Black Mirror 118,Director D,Mexico,2022-02-14,2011,PG-13,118 min,Mystery,Spanish,8.6,492192,146.8,188.32,83.3,0,excellent
s119,TV Show,Wednesday 119,Director E,Germany,2019-04-16,2001,PG,37 min,Drama,Korean,6.6,330138,95.98,433.86,54.7,1,good
s120,TV Show,Elite 120,Director D,Spain,2016-07-14,2024,PG-13,66 min,Sci-Fi,Italian,7.1,424453,36.42,151.41,64.9,6,good
s121,TV Show,Arcane 121,Director A,Spain,2016-12-04,2025,PG,52 min,Crime,Italian,6,313036,54.52,271.48,44.7,2,average
s122,TV Show,The Social Network 122,Director C,Mexico,2023-09-26,2005,TV-MA,53 min,Comedy,Japanese,9.1,649718,56.42,217.36,87.8,6,excellent
s123,Movie,Arcane 123,Director C,Spain,2017-08-07,2000,TV-G,152 min,Horror,English,5.7,252459,122.7,283.3,54.6,0,average
s124,Movie,The Social Network 124,Director C,Mexico,2021-01-16,2021,PG,122 min,Thriller,Hindi,7.7,560178,68.22,243.96,59.5,0,good
s125,Movie,The Crown 125,Director E,Canada,2021-10-21,2015,G,124 min,Thriller,Hindi,8.5,743237,164.61,174.37,68,0,good
s126,Movie,Black Mirror 126,Director F,Spain,2017-12-08,2014,TV-14,166 min,Fantasy,French,8.1,891593,81.23,76.55,79.4,0,good
s127,Movie,Manifest 127,Director B,South Korea,2023-12-16,2022,G,164 min,Drama,German,7.4,132257,115.51,426.86,73.8,0,good
s128,TV Show,Army of the Dead 128,Director E,France,2025-01-04,2014,TV-G,60 min,Family,Hindi,6.5,756759,75.37,87.59,59.4,3,good
s129,TV Show,Black Mirror 129,Director E,United Kingdom,2016-10-30,2020,PG-13,53 min,Documentary,English,9,823164,83.21,186.97,74.9,8,excellent
s130,Movie,Narcos 130,Director A,Canada,2017-11-05,2009,R,95 min,Animation,French,6.7,549103,59.43,200.06,65.8,0,good
s131,TV Show,Black Mirror 131,Director E,Spain,2021-12-25,2019,TV-MA,30 min,Family,English,5.9,659813,73.06,236.62,54.7,3,average
s132,Movie,Bridgerton 132,Director D,Mexico,2024-08-24,2020,PG,148 min,Animation,French,7.7,653133,49.11,69.84,66.9,0,good
s133,Movie,Glass Onion 133,Director D,Germany,2025-01-19,2025,R,162 min,Romance,Spanish,8.2,170759,74.28,175.96,65.5,0,good
s134,TV Show,The Night Agent 134,Director A,Canada,2025-08-26,2023,G,47 min,Thriller,Spanish,7.6,339617,20.04,47.22,55.3,7,good
s135,Movie,The Witcher 135,Director E,Italy,2020-04-22,2009,TV-PG,153 min,Thriller,Spanish,9.1,857993,76.43,332.81,69.6,0,excellent
s136,TV Show,Don't Look Up 136,Director C,United States,2025-11-09,2015,TV-MA,44 min,Crime,Italian,7.4,257422,7.67,36.59,53,8,good
s137,TV Show,The Social Network 137,Director A,France,2022-01-07,2009,TV-MA,25 min,Horror,Korean,8.3,805961,54.56,245.86,65.3,2,good
s138,TV Show,Arcane 138,Director B,India,2020-05-01,2002,TV-G,57 min,Romance,German,9.5,718449,92.91,183.48,80.5,8,excellent
s139,TV Show,Army of the Dead 139,Director E,Germany,2017-08-13,2024,PG-13,37 min,Horror,Spanish,5.8,354218,62.51,61.9,56.1,7,average
s140,TV Show,The Night Agent 140,Director C,Germany,2020-05-28,2005,TV-MA,64 min,Romance,German,7.4,518641,73.28,214.76,66.3,5,good
s141,Movie,Murder Mystery 141,Director C,Mexico,2022-07-18,2013,R,114 min,Adventure,English,8.2,32941,143.82,493.12,69.7,0,good
s142,TV Show,Roma 142,Director A,Germany,2021-11-17,2005,TV-PG,65 min,Documentary,Spanish,5.3,739549,21.99,80.46,33.4,7,average
s143,Movie,Bird Box 143,Director B,Japan,2021-08-17,2013,R,174 min,Fantasy,German,8.8,767736,110.84,270.37,60.1,0,excellent
s144,TV Show,To All the Boys I've Loved Before 144,Director F,Mexico,2020-03-23,2016,PG,45 min,Horror,Italian,7.5,713699,57.86,175.84,68.8,3,good
s145,Movie,The Umbrella Academy 145,Director F,Italy,2022-04-04,2008,G,113 min,Romance,Italian,6.5,308042,42.03,184.69,59,0,good
s146,TV Show,Lupin 146,Director C,United States,2017-05-14,2009,PG,61 min,Adventure,Hindi,6.7,815616,108.01,265.38,63.3,7,good
s147,TV Show,Lupin 147,Director A,Australia,2018-11-16,2020,R,55 min,Thriller,English,9.2,734988,28.24,86.47,68.9,4,excellent
s148,Movie,To All the Boys I've Loved Before 148,Director A,Japan,2018-08-11,2020,PG-13,81 min,Documentary,Italian,7.2,719281,19.84,37.46,66.4,0,good
s149,Movie,Glass Onion 149,Director E,Italy,2019-03-22,2024,TV-MA,116 min,Action,Japanese,8.5,688984,52.8,43.86,71.5,0,good
s150,Movie,Ozark 150,Director A,Canada,2024-11-01,2012,TV-14,138 min,Romance,French,9,308528,35.16,123.8,83.7,0,excellent
s151,TV Show,The Gray Man 151,Director C,Italy,2025-07-17,2004,PG-13,57 min,Drama,German,6.6,771634,36.38,152.69,53.2,8,good
s152,TV Show,The Mitchells vs. the Machines 152,Director A,France,2023-07-25,2018,TV-14,37 min,Action,Spanish,6.9,453479,75.26,262.1,57.1,3,good
s153,TV Show,Glass Onion 153,Director E,United States,2016-01-28,2007,PG,41 min,Animation,German,9.3,321613,32.08,127.22,78.1,7,excellent
s154,Movie,The Old Guard 154,Director C,Italy,2023-06-28,2001,TV-14,90 min,Animation,French,8.2,943599,84.84,103.75,77.6,0,good
s155,Movie,Arcane 155,Director D,Japan,2017-07-01,2007,R,136 min,Mystery,Korean,7.8,441045,29.27,102.92,69.4,0,good
s156,Movie,Murder Mystery 156,Director E,South Korea,2021-01-03,2016,PG-13,142 min,Action,German,7.6,69758,127.27,115.13,71.2,0,good
s157,TV Show,Damsel 157,Director D,Germany,2023-08-18,2003,TV-MA,38 min,Fantasy,Italian,8.7,480458,15.46,45.51,61.2,8,excellent
s158,TV Show,Murder Mystery 158,Director F,India,2016-03-30,2023,TV-MA,50 min,Comedy,Italian,7.7,52489,98.89,388.87,61,5,good
s159,TV Show,Money Heist 159,Director F,Mexico,2018-01-07,2013,PG-13,33 min,Animation,German,7.1,400833,48.06,218.37,54.9,7,good
s160,Movie,Narcos 160,Director C,Germany,2020-05-28,2017,TV-G,142 min,Fantasy,Japanese,8.8,797911,24.67,108.97,59,0,excellent
s161,Movie,Breaking Bad 161,Director F,France,2019-11-18,2014,TV-MA,94 min,Thriller,Korean,8.3,123326,51.07,217.35,55.3,0,good
s162,Movie,Wednesday 162,Director D,South Korea,2016-05-17,2019,R,132 min,Mystery,English,5.4,781513,108.41,362.39,32.4,0,average
s163,TV Show,Black Mirror 163,Director B,Mexico,2025-02-23,2007,R,61 min,Documentary,French,8.7,253411,71.41,288.83,65.7,6,excellent
s164,Movie,Sex Education 164,Director C,Mexico,2022-08-20,2017,TV-G,169 min,Mystery,German,7,524696,164.26,499.58,45.3,0,good
s165,TV Show,The Old Guard 165,Director F,United Kingdom,2017-09-03,2013,G,44 min,Drama,Japanese,6.2,241290,26.15,80,45.7,7,good
s166,Movie,Bird Box 166,Director E,Italy,2018-09-21,2012,R,107 min,Drama,French,9.2,893283,38.19,119.24,71.6,0,excellent
s167,Movie,The Lincoln Lawyer 167,Director C,Canada,2018-02-09,2002,TV-MA,177 min,Thriller,Korean,7.6,507681,137.58,471.18,54.4,0,good
s168,Movie,Nimona 168,Director E,Spain,2024-06-16,2023,PG,136 min,Documentary,Italian,8.2,420898,164.77,545.87,78.3,0,good
s169,TV Show,The Platform 169,Director B,Spain,2018-12-07,2009,TV-PG,48 min,Documentary,English,8.3,803625,58.59,244.43,77.1,8,good
s170,Movie,The Irishman 170,Director B,Spain,2017-08-20,2023,R,77 min,Documentary,Korean,7.7,442862,48.42,205.57,57.6,0,good
s171,TV Show,Don't Look Up 171,Director D,United Kingdom,2024-07-23,2008,TV-MA,56 min,Fantasy,English,6.7,151757,58,224.9,61,8,good
s172,Movie,Wednesday 172,Director E,Germany,2016-01-27,2024,TV-PG,127 min,Drama,Italian,5.5,163366,26.47,80.99,32.2,0,average
s173,TV Show,To All the Boys I've Loved Before 173,Director F,Mexico,2016-01-28,2000,TV-G,59 min,Mystery,Spanish,6.4,305614,6.36,19.23,39.7,7,good
s174,Movie,The Witcher 174,Director A,Spain,2017-09-01,2016,TV-G,105 min,Sci-Fi,Korean,8.7,285310,36.16,95.94,79.1,0,excellent
s175,Movie,The Old Guard 175,Director D,France,2023-09-02,2009,TV-G,180 min,Fantasy,Italian,8.9,801483,152.92,481.63,60.1,0,excellent
s176,Movie,Dark 176,Director A,Japan,2017-12-02,2022,TV-MA,85 min,Thriller,Korean,8.6,598343,90.97,208.53,83.2,0,excellent
s177,TV Show,The Old Guard 177,Director B,Australia,2016-07-09,2008,PG-13,29 min,Mystery,Japanese,5.3,896737,108.42,343.34,38.9,5,average
s178,TV Show,Wednesday 178,Director F,Italy,2022-04-28,2005,TV-14,40 min,Fantasy,German,6.9,780679,82.86,254.41,47,7,good
s179,Movie,Dark 179,Director C,United States,2018-08-08,2013,PG,84 min,Mystery,Italian,9.3,420973,62.63,225.41,88.6,0,excellent
s180,Movie,Don't Look Up 180,Director C,South Korea,2022-03-15,2011,TV-14,123 min,Comedy,French,8,94856,78.87,256.39,72.8,0,good
s181,TV Show,Lucifer 181,Director D,Spain,2024-10-15,2022,PG,65 min,Comedy,Spanish,5.7,10447,90.06,191.83,59.1,3,average
s182,Movie,Bridgerton 182,Director E,Australia,2021-01-12,2013,TV-PG,146 min,Family,Japanese,5.3,376106,100.74,220.76,45.4,0,average
s183,TV Show,Stranger Things 183,Director C,Germany,2020-05-07,2013,PG-13,30 min,Comedy,Spanish,6.8,150584,70.78,107.04,49.7,4,good
s184,TV Show,Red Notice 184,Director B,Germany,2019-05-12,2013,TV-14,55 min,Action,French,8.3,524886,46.53,221.75,70.4,2,good
s185,TV Show,Stranger Things 185,Director F,Australia,2025-06-09,2010,PG-13,64 min,Crime,German,6.6,860088,97.47,212.88,63,7,good
s186,Movie,The Social Network 186,Director E,South Korea,2019-07-10,2015,TV-PG,97 min,Documentary,French,6.5,733716,173.69,760.42,57.1,0,good
s187,TV Show,The Mitchells vs. the Machines 187,Director F,Germany,2017-04-11,2011,R,61 min,Sci-Fi,French,8.1,581820,73.11,226.03,53.5,4,good
s188,Movie,The Old Guard 188,Director F,France,2024-11-30,2025,TV-G,127 min,Comedy,Italian,6.5,269955,121.79,139.18,57.8,0,good
s189,TV Show,The Social Network 189,Director E,Mexico,2020-06-29,2018,TV-14,59 min,Comedy,Korean,6.7,944001,67.52,278.25,63.5,7,good
s190,TV Show,To All the Boys I've Loved Before 190,Director D,India,2023-04-04,2005,TV-MA,64 min,Comedy,French,8,794245,69.77,244.83,61,1,good
